filepath,label,item,split
train/fresh/pear_fresh_0068.jpg,fresh,pear,train
train/fresh/banana_fresh_0014.jpg,fresh,banana,train
train/fresh/spinach_fresh_0151.jpg,fresh,spinach,train
train/fresh/corn_fresh_0192.jpg,fresh,corn,train
train/fresh/broccoli_fresh_0059.jpg,fresh,broccoli,train
train/fresh/broccoli_fresh_0122.jpg,fresh,broccoli,train
train/fresh/corn_fresh_0158.jpg,fresh,corn,train
train/fresh/pineapple_fresh_0006.jpg,fresh,pineapple,train
train/fresh/banana_fresh_0025.jpg,fresh,banana,train
train/fresh/tomato_fresh_0083.jpg,fresh,tomato,train
train/fresh/bell_pepper_fresh_0197.jpg,fresh,bell_pepper,train
train/fresh/cucumber_fresh_0182.jpg,fresh,cucumber,train
train/fresh/potato_fresh_0048.jpg,fresh,potato,train
train/fresh/garlic_fresh_0198.jpg,fresh,garlic,train
train/fresh/peach_fresh_0157.jpg,fresh,peach,train
train/fresh/tomato_fresh_0122.jpg,fresh,tomato,train
train/fresh/garlic_fresh_0195.jpg,fresh,garlic,train
train/fresh/potato_fresh_0043.jpg,fresh,potato,train
train/fresh/pineapple_fresh_0180.jpg,fresh,pineapple,train
train/fresh/carrot_fresh_0053.jpg,fresh,carrot,train
train/fresh/bell_pepper_fresh_0132.jpg,fresh,bell_pepper,train
train/fresh/banana_fresh_0125.jpg,fresh,banana,train
train/fresh/onion_fresh_0027.jpg,fresh,onion,train
train/fresh/onion_fresh_0138.jpg,fresh,onion,train
train/fresh/corn_fresh_0001.jpg,fresh,corn,train
train/fresh/cucumber_fresh_0079.jpg,fresh,cucumber,train
train/fresh/banana_fresh_0041.jpg,fresh,banana,train
train/fresh/orange_fresh_0088.jpg,fresh,orange,train
train/fresh/peach_fresh_0008.jpg,fresh,peach,train
train/fresh/corn_fresh_0169.jpg,fresh,corn,train
train/fresh/lemon_fresh_0004.jpg,fresh,lemon,train
train/fresh/lemon_fresh_0089.jpg,fresh,lemon,train
train/fresh/pineapple_fresh_0191.jpg,fresh,pineapple,train
train/fresh/pineapple_fresh_0011.jpg,fresh,pineapple,train
train/fresh/apple_fresh_0180.jpg,fresh,apple,train
train/fresh/pear_fresh_0177.jpg,fresh,pear,train
train/fresh/banana_fresh_0111.jpg,fresh,banana,train
train/fresh/banana_fresh_0170.jpg,fresh,banana,train
train/fresh/bell_pepper_fresh_0120.jpg,fresh,bell_pepper,train
train/fresh/bell_pepper_fresh_0109.jpg,fresh,bell_pepper,train
train/fresh/onion_fresh_0091.jpg,fresh,onion,train
train/fresh/tomato_fresh_0166.jpg,fresh,tomato,train
train/fresh/corn_fresh_0042.jpg,fresh,corn,train
train/fresh/spinach_fresh_0048.jpg,fresh,spinach,train
train/fresh/onion_fresh_0189.jpg,fresh,onion,train
train/fresh/tomato_fresh_0144.jpg,fresh,tomato,train
train/fresh/apple_fresh_0035.jpg,fresh,apple,train
train/fresh/bell_pepper_fresh_0053.jpg,fresh,bell_pepper,train
train/fresh/strawberry_fresh_0029.jpg,fresh,strawberry,train
train/fresh/bell_pepper_fresh_0089.jpg,fresh,bell_pepper,train
train/fresh/potato_fresh_0001.jpg,fresh,potato,train
train/fresh/strawberry_fresh_0183.jpg,fresh,strawberry,train
train/fresh/cucumber_fresh_0087.jpg,fresh,cucumber,train
train/fresh/mango_fresh_0024.jpg,fresh,mango,train
train/fresh/strawberry_fresh_0166.jpg,fresh,strawberry,train
train/fresh/tomato_fresh_0137.jpg,fresh,tomato,train
train/fresh/orange_fresh_0005.jpg,fresh,orange,train
train/fresh/corn_fresh_0126.jpg,fresh,corn,train
train/fresh/orange_fresh_0132.jpg,fresh,orange,train
train/fresh/strawberry_fresh_0160.jpg,fresh,strawberry,train
train/fresh/apple_fresh_0085.jpg,fresh,apple,train
train/fresh/banana_fresh_0052.jpg,fresh,banana,train
train/fresh/orange_fresh_0139.jpg,fresh,orange,train
train/fresh/broccoli_fresh_0013.jpg,fresh,broccoli,train
train/fresh/carrot_fresh_0080.jpg,fresh,carrot,train
train/fresh/strawberry_fresh_0104.jpg,fresh,strawberry,train
train/fresh/cucumber_fresh_0117.jpg,fresh,cucumber,train
train/fresh/cucumber_fresh_0192.jpg,fresh,cucumber,train
train/fresh/bell_pepper_fresh_0079.jpg,fresh,bell_pepper,train
train/fresh/bell_pepper_fresh_0139.jpg,fresh,bell_pepper,train
train/fresh/mango_fresh_0094.jpg,fresh,mango,train
train/fresh/bell_pepper_fresh_0174.jpg,fresh,bell_pepper,train
train/fresh/orange_fresh_0008.jpg,fresh,orange,train
train/fresh/grapes_fresh_0129.jpg,fresh,grapes,train
train/fresh/tomato_fresh_0176.jpg,fresh,tomato,train
train/fresh/peach_fresh_0046.jpg,fresh,peach,train
train/fresh/pineapple_fresh_0175.jpg,fresh,pineapple,train
train/fresh/peach_fresh_0086.jpg,fresh,peach,train
train/fresh/orange_fresh_0140.jpg,fresh,orange,train
train/fresh/potato_fresh_0073.jpg,fresh,potato,train
train/fresh/tomato_fresh_0084.jpg,fresh,tomato,train
train/fresh/orange_fresh_0138.jpg,fresh,orange,train
train/fresh/spinach_fresh_0180.jpg,fresh,spinach,train
train/fresh/banana_fresh_0091.jpg,fresh,banana,train
train/fresh/pineapple_fresh_0154.jpg,fresh,pineapple,train
train/fresh/broccoli_fresh_0144.jpg,fresh,broccoli,train
train/fresh/onion_fresh_0161.jpg,fresh,onion,train
train/fresh/onion_fresh_0176.jpg,fresh,onion,train
train/fresh/corn_fresh_0056.jpg,fresh,corn,train
train/fresh/bell_pepper_fresh_0168.jpg,fresh,bell_pepper,train
train/fresh/apple_fresh_0044.jpg,fresh,apple,train
train/fresh/orange_fresh_0029.jpg,fresh,orange,train
train/fresh/bell_pepper_fresh_0122.jpg,fresh,bell_pepper,train
train/fresh/potato_fresh_0029.jpg,fresh,potato,train
train/fresh/strawberry_fresh_0076.jpg,fresh,strawberry,train
train/fresh/mango_fresh_0147.jpg,fresh,mango,train
train/fresh/lemon_fresh_0056.jpg,fresh,lemon,train
train/fresh/tomato_fresh_0003.jpg,fresh,tomato,train
train/fresh/onion_fresh_0029.jpg,fresh,onion,train
train/fresh/bell_pepper_fresh_0105.jpg,fresh,bell_pepper,train
train/fresh/onion_fresh_0053.jpg,fresh,onion,train
train/fresh/broccoli_fresh_0159.jpg,fresh,broccoli,train
train/fresh/pear_fresh_0074.jpg,fresh,pear,train
train/fresh/peach_fresh_0092.jpg,fresh,peach,train
train/fresh/strawberry_fresh_0042.jpg,fresh,strawberry,train
train/fresh/banana_fresh_0066.jpg,fresh,banana,train
train/fresh/onion_fresh_0058.jpg,fresh,onion,train
train/fresh/grapes_fresh_0199.jpg,fresh,grapes,train
train/fresh/banana_fresh_0013.jpg,fresh,banana,train
train/fresh/orange_fresh_0147.jpg,fresh,orange,train
train/fresh/pineapple_fresh_0104.jpg,fresh,pineapple,train
train/fresh/lemon_fresh_0068.jpg,fresh,lemon,train
train/fresh/mango_fresh_0141.jpg,fresh,mango,train
train/fresh/pear_fresh_0045.jpg,fresh,pear,train
train/fresh/garlic_fresh_0027.jpg,fresh,garlic,train
train/fresh/cucumber_fresh_0113.jpg,fresh,cucumber,train
train/fresh/onion_fresh_0198.jpg,fresh,onion,train
